Čas: 00:00:12.8004507, Stav 1: 14, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 15, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 16, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 17, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 18, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 19, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 20, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 21, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 22, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 23, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 24, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 25, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 26, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:12.8004507, Stav 1: 27, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:13.7986218, Stav 1: 28, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:13.7986218, Stav 1: 29, Stav 2: 30, Set 1: 0, Set 2: 1
Čas: 00:00:13.7986218, Stav 1: 30, Stav 2: 30, Set 1: 1, Set 2: 1
Čas: 00:00:17.8204970, Stav 1: 29, Stav 2: 30, Set 1: 1, Set 2: 1
Čas: 00:00:17.8204970, Stav 1: 28, Stav 2: 30, Set 1: 1, Set 2: 1
Čas: 00:00:23.8302290, Stav 1: 28, Stav 2: 30, Set 1: 1, Set 2: 2
Čas: 00:00:24.8296026, Stav 1: 28, Stav 2: 30, Set 1: 2, Set 2: 2
Čas: 00:00:25.8294855, Stav 1: 28, Stav 2: 30, Set 1: 1, Set 2: 2
Čas: 00:00:26.8302926, Stav 1: 28, Stav 2: 30, Set 1: 2, Set 2: 2
Čas: 00:00:27.8302443, Stav 1: 28, Stav 2: 30, Set 1: 2, Set 2: 1
Čas: 00:00:03.0928419, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:04.0928884, Stav 1: 2, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:04.0928884, Stav 1: 3, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:04.0928884, Stav 1: 4, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:04.0928884, Stav 1: 5, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:05.1038528, Stav 1: 6, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:07.1073402, Stav 1: 0, Stav 2: 0, Set 1: 1, Set 2: 0
Čas: 00:00:07.1073402, Stav 1: 0, Stav 2: 0, Set 1: 2, Set 2: 0
Čas: 00:00:07.1073402, Stav 1: 0, Stav 2: 0, Set 1: 3, Set 2: 0
Čas: 00:00:12.1067760, Stav 1: 0, Stav 2: 1, Set 1: 0, Set 2: 3
Čas: 00:00:13.1077399, Stav 1: 0, Stav 2: 2, Set 1: 0, Set 2: 3
Čas: 00:00:13.1077399, Stav 1: 0, Stav 2: 3, Set 1: 0, Set 2: 3
Čas: 00:00:13.1077399, Stav 1: 0, Stav 2: 4, Set 1: 0, Set 2: 3
Čas: 00:00:14.1071814, Stav 1: 0, Stav 2: 5, Set 1: 0, Set 2: 3
Čas: 00:00:14.1071814, Stav 1: 0, Stav 2: 6, Set 1: 0, Set 2: 3
Čas: 00:00:14.1071814, Stav 1: 0, Stav 2: 7, Set 1: 0, Set 2: 3
Čas: 00:00:06.0022383, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:08.9959150, Stav 1: 0, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:12.9962524, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:23.3181496, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:24.3180598, Stav 1: 0, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:25.3219018, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:25.3219018, Stav 1: 1, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:26.3186213, Stav 1: 1, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:26.3186213, Stav 1: 1, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.3186213, Stav 1: 2, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.3186213, Stav 1: 2, Stav 2: 4, Set 1: 0, Set 2: 0
Čas: 00:00:27.3218680, Stav 1: 3, Stav 2: 4, Set 1: 0, Set 2: 0
Čas: 00:00:27.3218680, Stav 1: 3, Stav 2: 5, Set 1: 0, Set 2: 0
Čas: 00:00:02.0007317, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:02.9958466, Stav 1: 0, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:03.9954634, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:03.9954634, Stav 1: 2, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:03.9954634, Stav 1: 3, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:04.9952872, Stav 1: 3, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:04.9952872, Stav 1: 3, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:04.9952872, Stav 1: 3, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:06.0006038, Stav 1: 3, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:06.0006038, Stav 1: 3, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:01.0016404, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:02.0018885, Stav 1: 2, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:02.0018885, Stav 1: 3, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:03.0028798, Stav 1: 4, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:04.9980387, Stav 1: 4, Stav 2: 0, Set 1: 1, Set 2: 0
Čas: 00:00:06.0049077, Stav 1: 4, Stav 2: 0, Set 1: 2, Set 2: 0
Čas: 00:00:07.0016610, Stav 1: 4, Stav 2: 0, Set 1: 1, Set 2: 0
Čas: 00:00:09.0008253, Stav 1: 4, Stav 2: 0, Set 1: 1, Set 2: 1
Čas: 00:00:10.0057459, Stav 1: 4, Stav 2: 0, Set 1: 1, Set 2: 2
Čas: 00:00:12.0023084, Stav 1: 4, Stav 2: 1, Set 1: 1, Set 2: 2
Čas: 00:00:12.0023084, Stav 1: 4, Stav 2: 2, Set 1: 1, Set 2: 2
Čas: 00:00:12.0023084, Stav 1: 4, Stav 2: 3, Set 1: 1, Set 2: 2
Čas: 00:00:30.1508675, Stav 1: 0, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:30.1508675, Stav 1: 0, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:30.1508675, Stav 1: 0, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:31.1486086, Stav 1: 0, Stav 2: 4, Set 1: 0, Set 2: 0
